codigo;descripcion;numero;insumo;cantidad;unidad
AAA149;PROTECCION 1 1RAS;5;AGUA;4000;LITRO
AAA149;PROTECCION 1 1RAS;1;CARBENDAZIM 500 SC PHYTOCARE;2;LITRO
AAA149;PROTECCION 1 1RAS;4;PEGAL PH AE Nonil Fenolpolietilenoxi etanol 181,7 g/l.;1;LITRO
AAA149;PROTECCION 1 1RAS;2;SEVIN - (carbarilo);2,5;LITRO
AAA149;PROTECCION 1 1RAS;3;ZAFIRO PROPAMUCARB;1;LITRO
AAA149 PH;PROTECCION 1 1RAS;1;DANADIM;2;LITRO
AAA150;FOLIAR 1 1RAS;7;AGUA;2500;LITRO
AAA150;FOLIAR 1 1RAS;1;CLORURO DE POTASIO - SOLUBLE 0 - 0 - 60. K2O 60%, CI45.60% # ICA (8004);16;KILOGRAMO
AAA150;FOLIAR 1 1RAS;2;EPSO-TOP SULFATO DE MAGNESIO MgO 16%, SO3 32%;20;KILOGRAMO
AAA150;FOLIAR 1 1RAS;3;MAP SOLUBLE (12% Nitrógeno 61% Fósforo NH4H2PO4);30;KILOGRAMO
AAA150;FOLIAR 1 1RAS;4;PEGAL PH AE Nonil Fenolpolietilenoxi etanol 181,7 g/l.;1;LITRO
AAA150;FOLIAR 1 1RAS;6;RADIGROW-NITROGENO TOTAL( N)...14,00g/LFÓSFORO TOTAL(P205)...14,07g/L POTASIO TOTAL 20)...12,00g/LCARBONO ORGANICO OXIDABLE TOTAL ...50,83g/L;2;LITRO
AAA150;FOLIAR 1 1RAS;5;UREA NITROGENO GRANULADA. 46 - 0 - 0 # ICA (6460);30;KILOGRAMO
AAA150 PH;FOLIAR 1 1RAS;1;METHOX 216 SL;3;LITRO
AAA151;EDAFICO 1 1RAS;1;AGUA;1;LITRO
AAA151;EDAFICO 1 1RAS;2;MF DISAN BALANCE 18-18-18;700;KILOGRAMO
AAA152;HERBICIDA 1 1RAS;1;AGUA;2000;LITRO
AAA152;HERBICIDA 1 1RAS;2;CASCABEL 500 SC (AMETRINA INGR-ACTIVO);4;LITRO
AAA152;HERBICIDA 1 1RAS;3;PEGAL PH AE Nonil Fenolpolietilenoxi etanol 181,7 g/l.;0,5;LITRO
AAA152;HERBICIDA 1 1RAS;4;TRILLA 80 WG (DIURON);4;LITRO
AAA153;PROTECCION 2 1RAS;4;AGUA;2500;LITRO
AAA153;PROTECCION 2 1RAS;1;CARBENDAZIM 500 SC PHYTOCARE;2;LITRO
AAA153;PROTECCION 2 1RAS;2;PEGAL PH AE Nonil Fenolpolietilenoxi etanol 181,7 g/l.;1;LITRO
AAA153;PROTECCION 2 1RAS;3;SEVIN - (carbarilo);2,5;LITRO
AAA153 PH;PROTECCION 2 1RAS;1;IMIDACLOPRID;3;LITRO
AAA154;FOLIAR 2 1RAS;12;AGUA;2500;LITRO
AAA154;FOLIAR 2 1RAS;3;AMISOL MICRO BORO;2;KILOGRAMO
AAA154;FOLIAR 2 1RAS;1;"ATP UP-NITROGENO TOTAL (N) ;FOSFORO ASIMILABLE;CARBONO ORGÁNICO OXIDABLE TOTAL";1;LITRO
AAA154;FOLIAR 2 1RAS;2;CLORURO DE POTASIO - SOLUBLE 0 - 0 - 60. K2O 60%, CI45.60% # ICA (8004);15;KILOGRAMO
AAA154;FOLIAR 2 1RAS;4;EPSO-TOP SULFATO DE MAGNESIO MgO 16%, SO3 32%;20;KILOGRAMO
AAA154;FOLIAR 2 1RAS;5;GLIBOR CALCIO (16,8% CaO+4,2% B) # ICA (9388);2;KILOGRAMO
AAA154;FOLIAR 2 1RAS;6;KELLUS ZINC (ZN 14%) # ICA (9650);1;KILOGRAMO
AAA154;FOLIAR 2 1RAS;7;MAP SOLUBLE (12% Nitrógeno 61% Fósforo NH4H2PO4);30;KILOGRAMO
AAA154;FOLIAR 2 1RAS;8;MERISTEM RAIZ  -NITROGENO TOTAL(N).. 15,00g/L HIERRO(Fe)*.11,60g/L *QUELATADO CON DTPA, MANGANESO(Mn)**6,0g/L, INC(Zn)**...6,0g/L,*QUELATADAO CON EDTA, CARBONO ORGANICO OXIDABLE # ICA (6323);2;LITRO
AAA154;FOLIAR 2 1RAS;9;PEGAL PH AE Nonil Fenolpolietilenoxi etanol 181,7 g/l.;1;LITRO
AAA154;FOLIAR 2 1RAS;13;ROHIFORTA;1;LITRO
AAA154;FOLIAR 2 1RAS;10;UREA NITROGENO GRANULADA. 46 - 0 - 0 # ICA (6460);40;KILOGRAMO
AAA154;FOLIAR 2 1RAS;11;ZAFIRO PROPAMUCARB;1;LITRO
AAA155;FOLIAR 3 1RAS;11;AGUA;2500;LITRO
AAA155;FOLIAR 3 1RAS;1;AMISOL MICRO BORO;5;KILOGRAMO
AAA155;FOLIAR 3 1RAS;2;CALCINIT - SC25 Fertilizante soluble (N);40;KILOGRAMO
AAA155;FOLIAR 3 1RAS;3;CLORURO DE POTASIO - SOLUBLE 0 - 0 - 60. K2O 60%, CI45.60% # ICA (8004);15;KILOGRAMO
AAA155;FOLIAR 3 1RAS;4;KELLUS MIX PIÑA - SC25;2;KILOGRAMO
AAA155;FOLIAR 3 1RAS;5;KELLUS ZINC (ZN 14%) # ICA (9650);2;KILOGRAMO
AAA155;FOLIAR 3 1RAS;6;MOLIBOR - FR1 (MO) soluble en HCI;0,5;KILOGRAMO
AAA155;FOLIAR 3 1RAS;7;PEGAL PH AE Nonil Fenolpolietilenoxi etanol 181,7 g/l.;1;LITRO
AAA155;FOLIAR 3 1RAS;8;RADIGROW-NITROGENO TOTAL( N)...14,00g/LFÓSFORO TOTAL(P205)...14,07g/L POTASIO TOTAL 20)...12,00g/LCARBONO ORGANICO OXIDABLE TOTAL ...50,83g/L;1,5;LITRO
AAA155;FOLIAR 3 1RAS;9;UREA NITROGENO GRANULADA. 46 - 0 - 0 # ICA (6460);45;KILOGRAMO
AAA155;FOLIAR 3 1RAS;10;VINAZA BIORGANIK (Humedad 1,20% Cenizas 25,8% Materia Seca 98,1% Materia Orgánica 68,4% Carbono Orgánico Oxidable Total 28,4% Nitrógeno Total (N) 1,90% Fósforo total (P205) 0,66% Potasio # ICA (11294);3;KILOGRAMO
AAA155 PH;FOLIAR 3 1RAS;1;BUMPER 25 EC (PROPICONAZOLE INGR-ACTIVO);5;LITRO
AAA156;HERBICIDA 2 1RAS;1;AGUA;2000;LITRO
AAA156;HERBICIDA 2 1RAS;3;CASCABEL 500 SC (AMETRINA INGR-ACTIVO);4;LITRO
AAA156;HERBICIDA 2 1RAS;2;PEGAL PH AE Nonil Fenolpolietilenoxi etanol 181,7 g/l.;0,5;LITRO
AAA156;HERBICIDA 2 1RAS;4;TRILLA 80 WG (DIURON);4;LITRO
AAA156 PH;HERBICIDA 2 1RAS;1;VERDICT 1400 ICA (#1187);1,5;LITRO
AAA157;PROTECCION CONTROL COCHINILLA 1RAS;2;AGUA;2500;LITRO
AAA157;PROTECCION CONTROL COCHINILLA 1RAS;1;PEGAL PH AE Nonil Fenolpolietilenoxi etanol 181,7 g/l.;1;LITRO
AAA157 PH;PROTECCION CONTROL COCHINILLA 1RAS;1;METHOX 216 SL;3;LITRO
AAA158;FOLIAR 4 1RAS;11;AGUA;2500;LITRO
AAA158;FOLIAR 4 1RAS;1;AMISOL MICRO BORO;5;KILOGRAMO
AAA158;FOLIAR 4 1RAS;2;CALCINIT - SC25 Fertilizante soluble (N);40;KILOGRAMO
AAA158;FOLIAR 4 1RAS;3;CLORURO DE POTASIO - SOLUBLE 0 - 0 - 60. K2O 60%, CI45.60% # ICA (8004);15;KILOGRAMO
AAA158;FOLIAR 4 1RAS;4;FYLLOTON  # ICA (7760);1;LITRO
AAA158;FOLIAR 4 1RAS;5;KAFON 0-30-18 (FOSFITO DE POTASIO-(CIDO FOSFOROSO E HIDROXIDO DE POTASIO))# ICA (6099);10;LITRO
AAA158;FOLIAR 4 1RAS;6;KELLUS ZINC (ZN 14%) # ICA (9650);2;KILOGRAMO
AAA158;FOLIAR 4 1RAS;7;MERISTEM RAIZ  -NITROGENO TOTAL(N).. 15,00g/L HIERRO(Fe)*.11,60g/L *QUELATADO CON DTPA, MANGANESO(Mn)**6,0g/L, INC(Zn)**...6,0g/L,*QUELATADAO CON EDTA, CARBONO ORGANICO OXIDABLE # ICA (6323);1,5;LITRO
AAA158;FOLIAR 4 1RAS;8;MOLIBOR - FR1 (MO) soluble en HCI;0,5;KILOGRAMO
AAA158;FOLIAR 4 1RAS;9;PEGAL PH AE Nonil Fenolpolietilenoxi etanol 181,7 g/l.;1;LITRO
AAA158;FOLIAR 4 1RAS;10;UREA NITROGENO GRANULADA. 46 - 0 - 0 # ICA (6460);52;KILOGRAMO
AAA159;HERBICIDA 3 1RAS;1;AGUA;2000;LITRO
AAA159;HERBICIDA 3 1RAS;3;CASCABEL 500 SC (AMETRINA INGR-ACTIVO);4;LITRO
AAA159;HERBICIDA 3 1RAS;2;PEGAL PH AE Nonil Fenolpolietilenoxi etanol 181,7 g/l.;0,5;LITRO
AAA159;HERBICIDA 3 1RAS;4;TRILLA 80 WG (DIURON);4;LITRO
AAA159 PH;HERBICIDA 3 1RAS;1;VERDICT 1400 ICA (#1187);1,5;LITRO
AAA160;FOLIAR 5 1RAS;1;AGUA;4000;LITRO
AAA160;FOLIAR 5 1RAS;2;AMISOL MICRO BORO;5;KILOGRAMO
AAA160;FOLIAR 5 1RAS;3;"ATP UP-NITROGENO TOTAL (N) ;FOSFORO ASIMILABLE;CARBONO ORGÁNICO OXIDABLE TOTAL";1;LITRO
AAA160;FOLIAR 5 1RAS;4;CARBENDAZIM 500 SC PHYTOCARE;2;LITRO
AAA160;FOLIAR 5 1RAS;5;CLORURO DE POTASIO - SOLUBLE 0 - 0 - 60. K2O 60%, CI45.60% # ICA (8004);15;KILOGRAMO
AAA160;FOLIAR 5 1RAS;6;CORMORAN (ACETAMIPRID 80 G/L NOVALURON 100 G/L;1;LITRO
AAA160;FOLIAR 5 1RAS;16;DILIGENT 720 WP (Metalaxil 80 + Mancozeb 640 g/Kg);4;LITRO
AAA160;FOLIAR 5 1RAS;7;EPSO-TOP SULFATO DE MAGNESIO MgO 16%, SO3 32%;40;KILOGRAMO
AAA160;FOLIAR 5 1RAS;8;ETABORO (Boro Etanolamina);1;LITRO
AAA160;FOLIAR 5 1RAS;9;GLIBOR CALCIO (16,8% CaO+4,2% B) # ICA (9388);2;KILOGRAMO
AAA160;FOLIAR 5 1RAS;10;KELLUS ZINC (ZN 14%) # ICA (9650);2;KILOGRAMO
AAA160;FOLIAR 5 1RAS;11;MAP SOLUBLE (12% Nitrógeno 61% Fósforo NH4H2PO4);40;KILOGRAMO
AAA160;FOLIAR 5 1RAS;12;PEGAL PH AE Nonil Fenolpolietilenoxi etanol 181,7 g/l.;1;LITRO
AAA160;FOLIAR 5 1RAS;13;RADIGROW-NITROGENO TOTAL( N)...14,00g/LFÓSFORO TOTAL(P205)...14,07g/L POTASIO TOTAL 20)...12,00g/LCARBONO ORGANICO OXIDABLE TOTAL ...50,83g/L;1,5;LITRO
AAA160;FOLIAR 5 1RAS;17;ROHIFORTA;2;LITRO
AAA160;FOLIAR 5 1RAS;14;UREA NITROGENO GRANULADA. 46 - 0 - 0 # ICA (6460);52;KILOGRAMO
AAA160;FOLIAR 5 1RAS;15;ZAFIRO PROPAMUCARB;1;LITRO
AAA160 PH;FOLIAR 5 1RAS;1;DANADIM;2;LITRO
AAA161;FOLIAR 6 1RAS;10;AGUA;2000;LITRO
AAA161;FOLIAR 6 1RAS;1;AMISOL MICRO BORO;5;KILOGRAMO
AAA161;FOLIAR 6 1RAS;2;CALCINIT - SC25 Fertilizante soluble (N);40;KILOGRAMO
AAA161;FOLIAR 6 1RAS;9;CLORURO DE POTASIO - SOLUBLE 0 - 0 - 60. K2O 60%, CI45.60% # ICA (8004);40;KILOGRAMO
AAA161;FOLIAR 6 1RAS;4;KELLUS MIX PIÑA - SC25;2;KILOGRAMO
AAA161;FOLIAR 6 1RAS;3;KELLUS ZINC (ZN 14%) # ICA (9650);2;KILOGRAMO
